Campaign,Ad Group,Keyword,Criterion Type,Status
"BDS | Search | Restaurants | BG",Restaurant Website,изработка на сайт за ресторант,Exact,Enabled
"BDS | Search | Restaurants | BG",Restaurant Website,сайт за ресторант,Exact,Enabled
"BDS | Search | Restaurants | BG",Restaurant Website,сайт за заведение,Exact,Enabled
"BDS | Search | Restaurants | BG",Restaurant Website,изработка на сайт за пицария,Exact,Enabled
"BDS | Search | Restaurants | BG",Restaurant Website,сайт за пицария,Exact,Enabled
"BDS | Search | Restaurants | BG",Restaurant Website,изработка на сайт за ресторант,Phrase,Enabled
"BDS | Search | Restaurants | BG",Restaurant Website,сайт за ресторант цена,Phrase,Enabled
"BDS | Search | Restaurants | BG",Restaurant Website,уеб сайт за ресторант,Phrase,Enabled
"BDS | Search | Restaurants | BG",Restaurant Website,сайт за кафене,Phrase,Enabled
"BDS | Search | Restaurants | BG",Online Ordering,онлайн поръчки за ресторант,Exact,Enabled
"BDS | Search | Restaurants | BG",Online Ordering,система за онлайн поръчки ресторант,Exact,Enabled
"BDS | Search | Restaurants | BG",Online Ordering,онлайн поръчки за пицария,Exact,Enabled
"BDS | Search | Restaurants | BG",Online Ordering,собствена система за поръчки,Exact,Enabled
"BDS | Search | Restaurants | BG",Online Ordering,система за онлайн поръчки,Phrase,Enabled
"BDS | Search | Restaurants | BG",Online Ordering,онлайн поръчки заведение,Phrase,Enabled
"BDS | Search | Restaurants | BG",Online Ordering,сайт с онлайн поръчки,Phrase,Enabled
"BDS | Search | Restaurants | BG",Online Ordering,платформа за поръчки на храна,Phrase,Enabled
"BDS | Search | Restaurants | BG",Online Ordering,дигитално меню с поръчки,Phrase,Enabled
"BDS | Search | Restaurants | BG",Restaurant System,дигитална система за ресторант,Exact,Enabled
"BDS | Search | Restaurants | BG",Restaurant System,ресторантска система,Exact,Enabled
"BDS | Search | Restaurants | BG",Restaurant System,система за управление на ресторант,Exact,Enabled
"BDS | Search | Restaurants | BG",Restaurant System,дигитално меню за ресторант,Phrase,Enabled
"BDS | Search | Restaurants | BG",Restaurant System,QR меню за ресторант,Phrase,Enabled
"BDS | Search | Restaurants | BG",Restaurant System,система за ресторант,Phrase,Enabled
"BDS | Search | Restaurants | BG",,безплатно,Negative Phrase,
"BDS | Search | Restaurants | BG",,безплатен,Negative Phrase,
"BDS | Search | Restaurants | BG",,безплатна,Negative Phrase,
"BDS | Search | Restaurants | BG",,безплатни,Negative Phrase,
"BDS | Search | Restaurants | BG",,free,Negative Phrase,
"BDS | Search | Restaurants | BG",,бесплатно,Negative Phrase,
"BDS | Search | Restaurants | BG",,как да направя,Negative Phrase,
"BDS | Search | Restaurants | BG",,как да си направя,Negative Phrase,
"BDS | Search | Restaurants | BG",,как се прави,Negative Phrase,
"BDS | Search | Restaurants | BG",,направи си сам,Negative Phrase,
"BDS | Search | Restaurants | BG",,diy,Negative Phrase,
"BDS | Search | Restaurants | BG",,website builder,Negative Phrase,
"BDS | Search | Restaurants | BG",,конструктор за сайт,Negative Phrase,
"BDS | Search | Restaurants | BG",,курс,Negative Phrase,
"BDS | Search | Restaurants | BG",,курсове,Negative Phrase,
"BDS | Search | Restaurants | BG",,обучение,Negative Phrase,
"BDS | Search | Restaurants | BG",,обучителен,Negative Phrase,
"BDS | Search | Restaurants | BG",,урок,Negative Phrase,
"BDS | Search | Restaurants | BG",,уроци,Negative Phrase,
"BDS | Search | Restaurants | BG",,tutorial,Negative Phrase,
"BDS | Search | Restaurants | BG",,tutorials,Negative Phrase,
"BDS | Search | Restaurants | BG",,ръководство,Negative Phrase,
"BDS | Search | Restaurants | BG",,guide,Negative Phrase,
"BDS | Search | Restaurants | BG",,дипломна,Negative Phrase,
"BDS | Search | Restaurants | BG",,проект за училище,Negative Phrase,
"BDS | Search | Restaurants | BG",,реферат,Negative Phrase,
"BDS | Search | Restaurants | BG",,wikipedia,Negative Phrase,
"BDS | Search | Restaurants | BG",,какво е,Negative Phrase,
"BDS | Search | Restaurants | BG",,работа,Negative Phrase,
"BDS | Search | Restaurants | BG",,jobs,Negative Phrase,
"BDS | Search | Restaurants | BG",,job,Negative Phrase,
"BDS | Search | Restaurants | BG",,career,Negative Phrase,
